"","continent","location","total_cases","total_deaths"
"1","Asia","Afghanistan",235214,7998
"2","Europe","Albania",335047,3605
"3","Africa","Algeria",272139,6881
"4","Oceania","American Samoa",8359,34
"5","Europe","Andorra",48015,159
"6","Africa","Angola",107481,1937
"7","North America","Anguilla",3904,12
"8","North America","Antigua and Barbuda",9106,146
"9","South America","Argentina",10101218,130663
"10","Asia","Armenia",452273,8777
"11","North America","Aruba",44224,292
"12","Oceania","Australia",11861161,25236
"13","Europe","Austria",6082444,22534
"14","Asia","Azerbaijan",835757,10353
"15","North America","Bahamas",39127,849
"16","Asia","Bahrain",696614,1536
"17","Asia","Bangladesh",2051348,29499
"18","North America","Barbados",108582,593
"19","Europe","Belarus",994037,7118
"20","Europe","Belgium",4872829,34339
"21","North America","Belize",71414,688
"22","Africa","Benin",28036,163
"23","North America","Bermuda",18860,165
"24","Asia","Bhutan",62697,21
"25","South America","Bolivia",1212147,22387
"26","North America","Bonaire Sint Eustatius and Saba",11922,41
"27","Europe","Bosnia and Herzegovina",403666,16392
"28","Africa","Botswana",330696,2801
"29","South America","Brazil",37511921,702116
"30","North America","British Virgin Islands",7557,64
"31","Asia","Brunei",347723,179
"32","Europe","Bulgaria",1329988,38700
"33","Africa","Burkina Faso",22139,400
"34","Africa","Burundi",54569,15
"35","Asia","Cambodia",139319,3056
"36","Africa","Cameroon",125246,1974
"37","North America","Canada",4819055,55282
"38","Africa","Cape Verde",64474,417
"39","North America","Cayman Islands",31472,37
"40","Africa","Central African Republic",15441,113
"41","Africa","Chad",7702,194
"42","South America","Chile",5401126,62730
"43","Asia","China",99373219,122304
"44","South America","Colombia",6391876,142727
"45","Africa","Comoros",9109,160
"46","Africa","Congo",25227,389
"47","Oceania","Cook Islands",7345,2
"48","North America","Costa Rica",1234701,9372
"49","Africa","Cote d'Ivoire",88434,835
"50","Europe","Croatia",1317144,18752
"51","North America","Cuba",1113662,8530
"52","North America","Curacao",45883,305
"53","Europe","Cyprus",696410,1451
"54","Europe","Czechia",4761919,43509
"55","Africa","Democratic Republic of Congo",101009,1474
"56","Europe","Denmark",3435679,9693
"57","Africa","Djibouti",15690,189
"58","North America","Dominica",16047,74
"59","North America","Dominican Republic",661103,4384
"60","Asia","East Timor",23460,138
"61","South America","Ecuador",1077445,36050
"62","Africa","Egypt",516023,24830
"63","North America","El Salvador",201920,4230
"64","Africa","Equatorial Guinea",17130,183
"65","Africa","Eritrea",10189,103
"66","Europe","Estonia",610471,2998
"67","Africa","Eswatini",75356,1427
"68","Africa","Ethiopia",501193,7574
"69","South America","Falkland Islands",1923,0
"70","Europe","Faroe Islands",34658,28
"71","Oceania","Fiji",69047,885
"72","Europe","Finland",1499712,11466
"73","Europe","France",38997490,168091
"74","South America","French Guiana",98041,413
"75","Oceania","French Polynesia",79387,650
"76","Africa","Gabon",49051,307
"77","Africa","Gambia",12627,372
"78","Asia","Georgia",1863615,17150
"79","Europe","Germany",38437756,174979
"80","Africa","Ghana",172062,1462
"81","Europe","Gibraltar",20550,113
"82","Europe","Greece",5673681,39258
"83","North America","Greenland",11971,21
"84","North America","Grenada",19693,238
"85","North America","Guadeloupe",203235,1021
"86","Oceania","Guam",52287,419
"87","North America","Guatemala",1250371,20203
"88","Europe","Guernsey",35326,67
"89","Africa","Guinea",38572,468
"90","Africa","Guinea-Bissau",9614,177
"91","South America","Guyana",74443,1302
"92","North America","Haiti",34456,860
"93","North America","Honduras",472896,11114
"94","Europe","Hungary",2230800,49053
"95","Europe","Iceland",210374,186
"96","Asia","India",45041748,533623
"97","Asia","Indonesia",6829399,162059
"98","Asia","Iran",7627863,146837
"99","Asia","Iraq",2465545,25375
"100","Europe","Ireland",1745088,9744
"101","Europe","Isle of Man",38008,116
"102","Asia","Israel",4841558,12707
"103","Europe","Italy",26781078,197307
"104","North America","Jamaica",157181,3611
"105","Asia","Japan",33803572,74694
"106","Europe","Jersey",66391,161
"107","Asia","Jordan",1746997,14122
"108","Asia","Kazakhstan",1504370,19072
"109","Africa","Kenya",344106,5689
"110","Oceania","Kiribati",5085,24
"111","Europe","Kosovo",274279,3212
"112","Asia","Kuwait",667290,2570
"113","Asia","Kyrgyzstan",88953,1024
"114","Asia","Laos",219060,671
"115","Europe","Latvia",977765,7475
"116","Asia","Lebanon",1239904,10947
"117","Africa","Lesotho",36138,709
"118","Africa","Liberia",7930,294
"119","Africa","Libya",507269,6437
"120","Europe","Liechtenstein",21588,89
"121","Europe","Lithuania",1369355,9810
"122","Europe","Luxembourg",393542,1000
"123","Africa","Madagascar",68567,1428
"124","Africa","Malawi",89168,2686
"125","Asia","Malaysia",5309410,37351
"126","Asia","Maldives",186694,316
"127","Africa","Mali",33166,743
"128","Europe","Malta",122796,922
"129","Oceania","Marshall Islands",16297,17
"130","North America","Martinique",230354,1104
"131","Africa","Mauritania",63872,997
"132","Africa","Mauritius",328167,1073
"133","Africa","Mayotte",42027,187
"134","North America","Mexico",7619458,334551
"135","Oceania","Micronesia (country)",31765,65
"136","Europe","Moldova",637520,12245
"137","Europe","Monaco",17181,67
"138","Asia","Mongolia",1011489,2136
"139","Europe","Montenegro",251280,2654
"140","North America","Montserrat",1403,8
"141","Africa","Morocco",1279115,16305
"142","Africa","Mozambique",233843,2252
"143","Asia","Myanmar",642885,19494
"144","Africa","Namibia",172533,4108
"145","Oceania","Nauru",5393,1
"146","Asia","Nepal",1003450,12031
"147","Europe","Netherlands",8640008,22986
"148","Oceania","New Caledonia",80163,314
"149","Oceania","New Zealand",2639048,4284
"150","North America","Nicaragua",16185,245
"151","Africa","Niger",9518,315
"152","Africa","Nigeria",267188,3155
"153","Oceania","Niue",1074,0
"154","Asia","North Korea",0,0
"155","Europe","North Macedonia",350924,9978
"156","Oceania","Northern Mariana Islands",14912,41
"157","Europe","Norway",1512647,5732
"158","Asia","Oman",399449,4628
"159","Asia","Pakistan",1580631,30656
"160","Oceania","Palau",6372,10
"161","Asia","Palestine",703228,5708
"162","North America","Panama",1044821,8748
"163","Oceania","Papua New Guinea",46864,670
"164","South America","Paraguay",735759,19880
"165","South America","Peru",4526977,220975
"166","Asia","Philippines",4140383,66864
"167","Oceania","Pitcairn",4,0
"168","Europe","Poland",6670799,120726
"169","Europe","Portugal",5664109,28809
"170","North America","Puerto Rico",1252713,5938
"171","Asia","Qatar",514524,690
"172","Africa","Reunion",494595,921
"173","Europe","Romania",3541619,68825
"174","Europe","Russia",24268728,403188
"175","Africa","Rwanda",133264,1468
"176","North America","Saint Barthelemy",5507,5
"177","Africa","Saint Helena",2166,0
"178","North America","Saint Kitts and Nevis",6607,46
"179","North America","Saint Lucia",30282,410
"180","North America","Saint Martin (French part)",12324,46
"181","North America","Saint Pierre and Miquelon",3426,2
"182","North America","Saint Vincent and the Grenadines",9674,124
"183","Oceania","Samoa",17057,31
"184","Europe","San Marino",25292,126
"185","Africa","Sao Tome and Principe",6771,80
"186","Asia","Saudi Arabia",841469,9646
"187","Africa","Senegal",89485,1971
"188","Europe","Serbia",2583470,18057
"189","Africa","Seychelles",51886,172
"190","Africa","Sierra Leone",7979,125
"191","Asia","Singapore",3006155,2024
"192","North America","Sint Maarten (Dutch part)",11051,92
"193","Europe","Slovakia",1878002,21227
"194","Europe","Slovenia",1356582,10083
"195","Oceania","Solomon Islands",25954,199
"196","Africa","Somalia",27334,1361
"197","Africa","South Africa",4072765,102595
"198","Asia","South Korea",34571873,35934
"199","Africa","South Sudan",18823,147
"200","Europe","Spain",13980340,121852
"201","Asia","Sri Lanka",672798,16907
"202","Africa","Sudan",63993,5046
"203","South America","Suriname",82501,1406
"204","Europe","Sweden",2755181,27399
"205","Europe","Switzerland",4457868,14170
"206","Asia","Syria",57423,3163
"207","Asia","Tajikistan",17786,125
"208","Africa","Tanzania",43230,846
"209","Asia","Thailand",4799180,34715
"210","Africa","Togo",39530,290
"211","Oceania","Tokelau",80,0
"212","Oceania","Tonga",16976,12
"213","North America","Trinidad and Tobago",191496,4390
"214","Africa","Tunisia",1153361,29423
"215","Asia","Turkey",17004718,101419
"216","Asia","Turkmenistan",0,0
"217","North America","Turks and Caicos Islands",6805,40
"218","Oceania","Tuvalu",2943,1
"219","Africa","Uganda",172154,3632
"220","Europe","Ukraine",5532777,109920
"221","Asia","United Arab Emirates",1067030,2349
"222","Europe","United Kingdom",24974629,232112
"223","North America","United States of America",103436829,1193165
"224","North America","United States Virgin Islands",25389,132
"225","South America","Uruguay",1041346,7682
"226","Asia","Uzbekistan",175081,1016
"227","Oceania","Vanuatu",12019,14
"228","Europe","Vatican",26,0
"229","South America","Venezuela",552695,5856
"230","Asia","Vietnam",11624000,43206
"231","Oceania","Wallis and Futuna",3760,9
"232","Asia","Yemen",11945,2159
"233","Africa","Zambia",349842,4077
"234","Africa","Zimbabwe",266386,5740
